fldID;fldDate;fldIDMatch;fldTournament;fldTeam1;fldTeam2;fldInfo;fldElapsedTime;fldScore1;fldScore2;fldCoef1;fldCoefX;fldCoef2;fldTotal;fldCoefTotalOver;fldYellowCard1;fldYellowCard2;fldRedCard1;fldRedCard2;fldCorner1;fldCorner2;fldShotsOn1;fldShotsOn2;fldShotsOff1;fldShotsOff2;fldAttacks1;fldAttacks2;fldDanAttacks1;fldDanAttacks2;fldPenalty1;fldPenalty2;fldFreeKick1;fldFreeKick2;fldSub1;fldSub2;fldScoreResult1;fldScoreResult2;fldResult
14871;21.10.2022;406310747;Чемпионат Либерии. Первый дивизион;Джубили;Санди;Чемпионат Либерии. Первый дивизион Джубили Санди;4768;1;3;35;19.60000038;1.00999999;4.5;2.109999895;1;1;1;0;3;1;2;4;2;3;82;70;62;57;0;1;19;10;2;2;1;3;0
191876;27.10.2022;407684554;Чемпионат Ирана;Санат Нафт;Пайкан;Чемпионат Ирана Санат Нафт Пайкан;4709;1;0;1.24000001;4.46999979;24;1.5;2.74000001;3;3;0;0;1;3;1;0;3;9;73;92;20;43;1;0;12;17;3;3;1;1;1
5788;21.10.2022;406182774;Чемпионат США. MLS;Лос-Анджелес;Лос-Анджелес Галакси;Чемпионат США. MLS Лос-Анджелес Лос-Анджелес Галакси;4709;1;1;4.070000172;1.620000005;5.730000019;2.5;2.190000057;3;2;0;0;5;1;3;1;7;9;81;91;30;31;0;0;20;23;1;2;3;2;1
194743;27.10.2022;407722687;Чемпионат Либерии. Первый дивизион;ЛПРК Ойлер;БИА Маунтин;Чемпионат Либерии. Первый дивизион ЛПРК Ойлер БИА Маунтин;4739;0;0;4.369999886;1.50999999;5.550000191;0.5;2.359999895;3;4;0;1;4;5;2;1;2;5;87;90;63;79;0;0;14;14;0;2;0;0;0
266269;30.10.2022;408292593;Чемпионат США. USL. 1-я лига;Ричмонд Киккерс;Чаттануга Ред Вулвс;Чемпионат США. USL. 1-я лига Ричмонд Киккерс Чаттануга Ред Вулвс;4759;0;0;2.450000048;1.690000057;14.39999962;0.5;2.079999924;3;2;0;1;3;2;3;0;5;3;106;87;62;26;0;0;9;16;1;3;0;1;1
122355;23.10.2022;406819028;Чемпионат Испании. Молодёжная лига;Укам Мурсия (19);Леванте (19);Чемпионат Испании. Молодёжная лига Укам Мурсия (19) Леванте (19);4739;1;2;28;7.53000021;1.110000014;3.5;2.210000038;2;1;0;0;5;9;4;9;1;10;47;90;26;70;0;0;22;20;0;0;2;3;1
119408;23.10.2022;406810571;Чемпионат Камеруна. Премьер Дивизион;Ренессанс де Нгому;Стад Ренард Мелонг;Чемпионат Камеруна. Премьер Дивизион Ренессанс де Нгому Стад Ренард Мелонг;4716;0;0;5.679999828;1.49000001;4.480000019;0.5;2.589999914;0;2;0;0;4;5;3;3;4;8;67;72;30;37;0;0;32;27;0;0;0;0;0
79056;22.10.2022;406626232;Чемпионат Германии. 2-я Бундеслига;Арминия;Санкт-Паули;Чемпионат Германии. 2-я Бундеслига Арминия Санкт-Паули;4748;1;0;1.24000001;4.550000191;32;1.5;2.329999924;1;0;0;0;2;3;2;5;7;3;84;84;38;33;0;0;6;10;3;1;2;0;1
124765;23.10.2022;406827363;Португалия. Национальный чемпионат;Лоурес;Рио Майор;Португалия. Национальный чемпионат Лоурес Рио Майор;4700;1;1;3.640000105;1.590000033;6.059999943;2.5;2.305000067;2;2;0;0;4;6;1;1;0;0;0;0;0;0;0;0;24;27;0;0;1;1;0
71275;22.10.2022;406580868;Чемпионат Польши;Легия;Погонь;Чемпионат Польши Легия Погонь;4741;1;1;3.539999962;1.639999986;6.079999924;2.5;2.019999981;2;3;0;0;7;7;7;6;9;5;95;63;68;44;1;0;14;22;2;4;1;1;0
131630;23.10.2022;406848109;Чемпионат Кот-дИвуара;Буаке;Сол Абобо;Чемпионат Кот-дИвуара Буаке Сол Абобо;4742;1;0;1.110000014;7.360000134;32;1.5;2.440000057;1;1;0;1;7;3;3;4;4;4;68;78;69;48;0;0;17;26;2;0;1;0;0
305384;30.10.2022;408461847;Чемпионат Португалии. Второй дивизион;Ковилья;Лейшойнш;Чемпионат Португалии. Второй дивизион Ковилья Лейшойнш;4732;1;0;1.110000014;7.059999943;68;1.5;2.700000048;2;3;0;1;5;9;5;5;3;7;101;91;51;41;0;0;16;23;0;0;1;2;1
65002;22.10.2022;406566803;Чемпионат Румынии. Лига 1;Волунтари;Киндия;Чемпионат Румынии. Лига 1 Волунтари Киндия;4766;0;2;61;19.10000038;1.00999999;2.5;2.230000019;2;1;0;0;8;3;2;6;5;6;95;75;56;48;0;0;16;15;4;4;0;3;1
84975;23.10.2022;406672158;Чемпионат Никарагуа. 2-й дивизион;КД Джуниор Манагуа;Атлетико Сомотильо;Чемпионат Никарагуа. 2-й дивизион КД Джуниор Манагуа Атлетико Сомотильо;4796;1;0;1.200000048;5.139999866;23;1.5;2.589999914;4;2;1;0;4;2;6;1;2;12;98;118;53;66;0;0;15;18;4;4;1;3;1
89169;23.10.2022;406714787;Чемпионат Японии. Второй дивизион;Роассо;Йокогама;Чемпионат Японии. Второй дивизион Роассо Йокогама;4740;3;2;1.159999967;5.559999943;39;5.5;2.269999981;2;0;0;0;4;0;5;4;9;1;107;81;74;53;0;0;14;14;0;0;3;4;1
241202;29.10.2022;408153154;Чемпионат Венгрии. Суперлига;Гонвед;МОЛ Фехервар;Чемпионат Венгрии. Суперлига Гонвед МОЛ Фехервар;4703;0;1;36;4.769999981;1.200000048;1.5;2.180000067;2;0;0;0;3;6;1;2;0;2;87;111;53;53;0;0;13;15;3;0;0;1;0
28161;22.10.2022;406410591;США. NISA;Альбион Сан-Диего;Мэриленд Бобкэтс;США. NISA Альбион Сан-Диего Мэриленд Бобкэтс;4750;2;0;1.00999999;19.60000038;35;2.5;2.619999886;4;1;0;0;2;1;5;2;1;6;92;122;53;62;1;0;9;21;0;0;2;0;0
296233;30.10.2022;408431778;Чемпионат Германии. Оберлига Гамбург;СВ Ругенберген;Хамм Юнайтед;Чемпионат Германии. Оберлига Гамбург СВ Ругенберген Хамм Юнайтед;4700;0;2;35;19.5;1.019999981;2.5;2.049999952;0;0;0;0;4;4;3;8;4;3;97;105;70;62;1;0;8;7;4;2;0;3;1
277717;30.10.2022;408387301;Чемпионат Вьетнама. V-Лига;Бекамекс Бинх Дуонг;Нам Динх;Чемпионат Вьетнама. V-Лига Бекамекс Бинх Дуонг Нам Динх;4749;1;1;3.519999981;1.570000052;6.679999828;2.5;2.180000067;1;0;0;0;7;4;1;1;7;5;58;55;82;53;1;1;18;10;0;0;1;1;0
201023;28.10.2022;407856968;Чемпионат Словакии. Молодежная лига;Спартак Трнава (19);Земплин (19);Чемпионат Словакии. Молодежная лига Спартак Трнава (19) Земплин (19);4766;1;0;1.159999967;6.03000021;24;1.5;2.25;4;0;0;0;3;9;2;6;8;7;75;90;51;63;0;0;14;19;0;0;1;0;0
245205;29.10.2022;408165745;Чемпионат Словении. Первая лига;Табор Сежана;Радомлье;Чемпионат Словении. Первая лига Табор Сежана Радомлье;4717;0;1;23;4.739999771;1.24000001;1.5;2.329999924;1;1;0;0;4;4;6;6;7;5;64;71;58;53;0;1;6;18;0;0;2;1;1
302795;30.10.2022;408453589;Португалия. Национальный чемпионат;ГД Ресенде;АД Камача;Португалия. Национальный чемпионат ГД Ресенде АД Камача;4771;0;1;28;5.900000095;1.159999967;1.5;2.775000095;4;3;0;1;5;4;2;2;9;5;106;79;68;42;0;0;10;9;3;3;0;1;0
293527;30.10.2022;408424597;Чемпионат Турции. Первая лига;ББ Эрзурум;Эйюпспор;Чемпионат Турции. Первая лига ББ Эрзурум Эйюпспор;4710;0;0;7;1.350000024;5.75;0.5;3.24000001;0;0;0;0;5;2;1;1;5;4;73;78;54;30;0;0;12;15;1;2;0;1;1
